latitude,longitude,room_type,property_type,accommodates,bedrooms,bathrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,maximum_nights,availability_365,instant_bookable,host_is_superhost,price
43.77382,11.25543,Private room,Private room in rental unit,2,1.0,1.0,1.0,15.0,0.18,4.47,2,30,122,1.0,0.0,153.0
43.77353,11.25537,Private room,Private room in rental unit,2,1.0,1.0,1.0,12.0,0.16,4.42,1,30,81,1.0,0.0,155.0
43.77719,11.21353,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,217.0,2.47,4.88,2,29,159,0.0,1.0,118.0
43.77793,11.25889,Private room,Private room in rental unit,3,1.0,1.0,2.0,229.0,2.61,4.59,2,1125,303,1.0,0.0,77.0
43.76575,11.24829,Entire home/apt,Entire rental unit,4,1.0,1.0,1.0,159.0,1.81,4.9,3,365,314,1.0,1.0,152.0
43.75679,11.28133,Entire home/apt,Entire condo,2,1.0,1.0,1.0,39.0,1.5,4.85,3,10,351,0.0,0.0,77.0
43.76893,11.25793,Entire home/apt,Entire rental unit,4,2.0,2.0,3.0,223.0,2.56,4.83,2,30,313,1.0,,319.0
43.76944,11.25645,Entire home/apt,Entire condo,4,1.0,1.5,2.0,235.0,2.69,4.86,1,28,347,1.0,0.0,186.0
43.77126,11.25458,Entire home/apt,Entire rental unit,6,2.0,2.0,4.0,228.0,2.59,4.79,3,1125,261,1.0,0.0,278.0
43.77567,11.25216,Entire home/apt,Entire condo,4,1.0,2.0,1.0,190.0,2.24,5.0,3,28,322,0.0,1.0,210.0
43.77243,11.2499,Entire home/apt,Entire loft,4,1.0,2.0,2.0,3.0,0.03,4.67,3,365,31,1.0,0.0,256.0
43.77829,11.2511,Entire home/apt,Entire rental unit,6,3.0,2.0,4.0,7.0,0.08,4.29,3,1125,37,1.0,1.0,302.0
43.76836,11.25638,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,38.0,0.5,4.34,1,29,153,1.0,0.0,850.0
43.77279,11.26511,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,468.0,5.51,4.86,1,365,318,1.0,1.0,133.0
43.77094,11.25683,Entire home/apt,Entire condo,2,1.0,1.0,1.0,425.0,4.87,4.82,1,30,291,0.0,,120.0
43.78801,11.23099,Entire home/apt,Entire rental unit,6,3.0,2.0,4.0,3.0,0.08,5.0,3,27,174,0.0,0.0,189.0
43.7817,11.25748,Private room,Private room in bed and breakfast,3,1.0,1.0,2.0,13.0,0.25,4.85,1,1125,286,1.0,0.0,227.0
43.76892,11.25264,Entire home/apt,Entire condo,2,1.0,1.0,2.0,242.0,2.78,4.8,3,28,251,0.0,1.0,99.0
43.76813,11.24743,Entire home/apt,Entire rental unit,6,2.0,1.5,4.0,100.0,1.14,4.42,2,1125,169,1.0,0.0,137.0
43.77228,11.25525,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,194.0,2.21,4.85,2,1125,266,0.0,1.0,133.0
43.77248,11.25618,Entire home/apt,Entire rental unit,3,1.0,1.0,1.0,197.0,2.24,4.88,2,1125,319,1.0,1.0,128.0
43.7688,11.24183,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,512.0,5.93,4.87,2,28,176,1.0,1.0,128.0
43.76291,11.27497,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,328.0,3.77,4.89,2,30,267,1.0,1.0,92.0
43.77374,11.24928,Entire home/apt,Entire condo,2,1.0,1.0,1.0,162.0,1.85,4.83,2,7,263,0.0,1.0,98.0
43.7703742980957,11.253682136535645,Entire home/apt,Entire rental unit,6,2.0,2.0,3.0,467.0,5.31,4.83,3,120,314,1.0,0.0,234.0
43.76997,11.27878,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,54.0,0.62,4.8,3,30,101,0.0,1.0,98.0
43.767542,11.260062,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,227.0,2.61,4.91,2,45,174,1.0,1.0,370.0
43.79152,11.22132,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,112.0,1.28,4.81,2,15,83,0.0,0.0,45.0
43.76968,11.24213,Private room,Private room in rental unit,2,1.0,1.0,2.0,38.0,0.44,4.87,1,30,160,0.0,1.0,160.0
43.79413,11.24917,Private room,Private room in condo,2,1.0,1.0,1.0,138.0,1.59,4.82,2,730,292,0.0,1.0,71.0
43.77422,11.2566,Entire home/apt,Entire loft,4,1.0,1.0,2.0,314.0,3.7,4.96,3,1125,338,1.0,1.0,200.0
43.76996,11.25252,Entire home/apt,Entire home,5,2.0,1.0,4.0,215.0,2.46,4.69,2,1125,203,1.0,,241.0
43.76779,11.25128,Entire home/apt,Entire rental unit,6,2.0,2.0,6.0,164.0,2.07,4.71,1,1125,107,1.0,0.0,310.0
43.76144,11.20787,Private room,Private room in home,2,1.0,1.0,2.0,152.0,1.75,4.9,3,30,266,1.0,1.0,57.0
43.78075,11.2443,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,482.0,5.56,4.81,2,1125,57,0.0,0.0,94.0
43.77696,11.25601,Entire home/apt,Entire rental unit,4,1.0,1.0,2.0,434.0,4.98,4.93,2,60,270,1.0,1.0,103.0
43.77524,11.25679,Entire home/apt,Entire rental unit,2,1.0,1.0,3.0,167.0,1.93,4.37,2,29,80,0.0,0.0,165.0
43.77418,11.25524,Entire home/apt,Entire rental unit,4,1.0,2.0,2.0,201.0,2.32,4.62,2,29,134,0.0,0.0,154.0
43.7773,11.25342,Entire home/apt,Entire loft,2,1.0,1.0,1.0,186.0,2.17,4.49,2,29,158,1.0,0.0,123.0
43.76802,11.26041,Entire home/apt,Entire loft,5,2.0,1.5,2.0,94.0,1.09,4.67,2,29,151,1.0,0.0,142.0
43.7816,11.23365,Private room,Private room in rental unit,2,1.0,1.5,2.0,66.0,0.75,4.65,3,30,167,0.0,0.0,52.0
43.76731,11.24822,Entire home/apt,Entire rental unit,4,1.0,1.5,2.0,124.0,1.45,4.74,2,29,151,0.0,0.0,171.0
43.77047,11.26612,Entire home/apt,Entire rental unit,5,1.0,1.0,2.0,97.0,1.11,4.45,1,1125,300,1.0,0.0,146.0
43.799858906993954,11.2340843176784,Entire home/apt,Entire condo,2,1.0,1.0,2.0,306.0,3.5,4.95,2,27,152,1.0,1.0,87.0
43.79881,11.24889,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,152.0,1.74,4.91,2,30,180,1.0,1.0,62.0
43.78169,11.23777,Entire home/apt,Entire loft,4,1.0,1.0,2.0,188.0,2.16,4.83,2,365,247,1.0,1.0,61.0
43.78132,11.24356,Entire home/apt,Entire condo,4,1.0,1.0,2.0,343.0,3.92,4.88,2,1125,75,0.0,1.0,113.0
43.769,11.24107,Entire home/apt,Entire rental unit,8,3.0,3.0,4.0,50.0,1.65,4.88,2,365,330,1.0,1.0,330.0
43.78681,11.2347,Entire home/apt,Entire condo,5,2.0,2.0,7.0,14.0,0.16,4.79,2,29,259,0.0,0.0,248.0
43.77309,11.25733,Entire home/apt,Entire rental unit,7,3.0,3.0,4.0,217.0,2.48,4.69,1,1125,307,1.0,0.0,343.0
43.77243,11.25665,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,89.0,1.02,4.73,1,1125,278,1.0,0.0,231.0
43.775978088378906,11.255730628967283,Entire home/apt,Entire rental unit,4,2.0,2.0,2.0,348.0,4.0,4.98,3,9,81,0.0,1.0,203.0
43.77258,11.26015,Entire home/apt,Entire rental unit,2,1.0,1.0,2.0,119.0,1.37,4.87,2,28,37,1.0,0.0,116.0
43.76389,11.27524,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,234.0,2.68,4.85,2,30,262,1.0,1.0,86.0
43.76706,11.23972,Entire home/apt,Entire condo,4,1.0,1.0,2.0,240.0,2.74,4.96,2,730,280,0.0,1.0,135.0
43.78995,11.24281,Private room,Private room in home,2,1.0,1.0,2.0,25.0,0.29,4.92,2,28,272,1.0,1.0,94.0
43.80947,11.23498,Private room,Private room in home,2,1.0,1.0,2.0,56.0,0.65,4.61,2,30,180,0.0,1.0,63.0
